en,zh,ja
watch,手表,腕時計
table,桌子,テーブル
father,父亲,父親
mouth,嘴,口
kid,孩子,子ども
ground,地面,地面
sister,姐妹,姉妹
woman,女人,女
detail,细节,詳細
cigarette,香烟,たばこ
bike,自行车,自転車
flame,火焰,炎
tail,尾巴,尻尾
cafeteria,食堂,食堂
duck,鸭子,アヒル
boat,小船,ボート
cop,警察,お巡りさん
milk,牛奶,牛乳
thigh,大腿,ふともも
belt,皮带,ベルト
teenager,青少年,少年
captain,船长,キャプテン
mask,面具,マスク
stingray,鳐鱼,エイ
bottle,瓶子,瓶
orange,橙子,オレンジ
butterfly,蝴蝶,蝶々
forest,森林,森
men,很多人,人々
teacher,老师,教師
doctor,医生,医者
apartment,公寓,アパート
rock,岩石,岩
girlfriend,女朋友,彼女
hallway,走廊,廊下
field,田野,田んぼ
wife,妻子,妻
bell,铃,ベル
suit,西装,スーツ
church,教堂,教会